用户ID,信用评分
5502,99.52
7328,99.66
7397,99.89
7581,99.91
8923,98.87
9357,99.71
20475,20.02
10716,99.89
10955,98.74
11613,99.63
12445,99.7
14910,99.34
16611,99.71
18645,99.1
1039,96.11
21637,55.45
2392,93.45
21957,10.21
22073,17.0
2543,84.28
22582,15.17
3457,97.04
3775,35.88
4005,72.47
24222,30.76
24414,7.47
25521,7.02
6703,99.81
8214,88.99
9326,97.77
9455,96.67
9626,99.87
9713,98.81
9907,99.01
11690,98.8
20535,24.77
11944,98.83
12471,99.22
14297,91.52
16931,95.68
18578,96.42
18778,99.62
18881,99.83
19195,99.18
19755,98.6
21578,56.91
1673,98.26
21809,40.95
21903,17.76
22214,37.33
3654,89.04
23383,5.56
4750,80.18
4780,30.18
5470,99.78
5700,99.28
6160,99.75
7603,99.02
8067,98.64
8687,92.12
8777,99.68
9190,99.81
9824,99.63
71,98.5
10717,99.62
11759,98.89
12667,99.3
147,96.57
14573,97.61
15312,99.22
15993,98.66
16796,99.09
17772,87.3
19527,98.55
352,51.35
21096,21.81
1823,59.09
2937,98.29
3197,28.05
23109,57.12
23722,9.77
25245,7.48
5160,95.83
5345,91.2
5720,99.79
6120,99.69
7310,96.71
8339,99.09
9945,99.12
11484,94.63
13332,93.58
13504,94.07
13911,86.86
14628,34.2
14660,99.7
15582,97.91
15931,97.18
17572,99.7
17666,99.14
17966,94.86
18160,99.83
20188,99.95
671,52.62
936,97.92
1219,98.63
2478,18.98
22380,22.27
3211,68.55
22947,10.05
23512,27.2
23621,30.28
4963,90.5
7084,98.1
10809,99.79
11326,99.61
11644,99.89
11743,99.75
13160,99.69
14127,99.78
14255,98.77
14332,93.32
14551,98.52
14779,99.74
14946,98.3
15847,97.86
16764,99.87
17315,99.96
17719,94.77
20726,69.81
517,47.94
21378,6.58
21434,15.6
21506,12.22
22435,7.68
3020,32.75
22541,7.8
3411,94.6
23276,16.85
4520,90.16
24246,7.74
5525,99.63
6128,99.22
7400,99.43
7512,98.94
8112,98.6
10815,99.41
13154,99.54
20586,40.54
13650,99.17
15232,99.78
16534,98.91
18286,99.25
18327,99.41
20775,95.6
576,93.59
21279,9.73
1233,87.65
2239,88.66
2348,58.29
22005,7.25
22741,33.72
22847,6.74
23572,12.22
4605,89.07
25118,12.52
5499,98.54
5614,99.78
7434,99.76
9271,98.25
9766,99.92
10022,99.71
10418,98.27
11776,99.6
12675,98.73
13468,99.27
14122,96.29
14894,98.56
16221,99.23
18058,99.69
20689,24.01
19947,97.3
20057,99.03
20818,43.3
21566,10.11
21602,43.88
1752,87.57
21721,13.3
3796,40.96
4102,91.02
4578,97.7
24375,16.75
24411,75.67
25468,36.17
5646,99.64
20375,85.53
7419,97.68
7563,99.65
8276,98.92
8422,98.61
9530,99.71
12297,99.77
14175,97.95
15507,99.31
15589,97.5
16493,99.9
16664,96.64
17478,99.73
18113,99.85
20684,84.97
19746,97.9
373,42.72
21396,46.16
1665,96.21
2373,85.96
3051,39.38
3156,82.48
3422,89.71
3706,97.36
25302,38.73
25451,20.17
7263,98.72
7412,98.32
7855,99.94
9358,99.08
11324,99.38
11504,98.7
12053,98.95
12762,99.65
14673,99.76
15722,98.75
16000,99.63
17099,90.7
17331,98.26
18106,99.79
19393,99.15
21115,8.38
1262,78.84
1323,90.24
21720,21.0
21942,8.64
21999,13.56
2626,88.32
22344,15.31
23101,14.97
23715,61.85
4135,34.98
4810,65.31
25377,10.03
5392,98.86
5912,94.5
6462,98.92
10101,99.71
10322,95.66
10603,99.57
10926,99.6
11383,99.45
14111,99.44
14286,99.34
15920,99.2
17260,98.1
18958,93.93
19322,99.71
21930,7.51
22633,40.3
3104,98.52
22697,73.41
3126,99.09
23431,6.04
3991,58.41
23912,13.72
4346,70.79
24131,64.54
4613,70.39
20372,87.12
6259,99.56
6870,92.78
9057,99.21
9532,90.99
10162,98.51
11068,99.23
11119,99.84
12255,98.25
12594,99.54
12732,98.28
13276,91.21
18304,99.38
1019,96.77
1644,97.41
22023,6.38
2632,19.48
2899,87.3
2984,90.35
3033,90.43
22955,9.16
23535,14.43
3921,15.76
24043,45.79
5610,98.11
27,98.89
6891,99.96
7123,99.82
7543,99.95
7709,99.7
9393,99.07
13098,99.45
14069,99.29
14439,99.07
16613,99.8
17474,97.0
19268,99.67
20277,99.18
21397,58.54
21476,73.93
2571,90.74
2879,85.07
22912,5.29
23318,39.39
3715,61.3
23655,83.69
24315,62.62
4763,18.86
24881,57.52
5845,99.91
6580,98.95
7132,99.69
7386,99.1
20494,97.47
10471,99.93
11212,99.09
12887,99.06
15352,99.54
15739,91.41
16679,93.28
18055,66.94
18423,97.41
19711,98.02
385,96.95
594,54.65
21295,8.78
665,68.22
714,20.64
3027,18.7
23061,78.28
23364,8.1
4113,52.0
4267,70.76
4835,42.01
5540,99.12
6707,99.93
7157,98.99
7655,95.98
8032,99.72
9714,98.5
10093,99.59
11051,93.32
11780,96.95
13194,99.5
13227,99.77
20643,24.77
16979,99.34
17208,97.44
17399,99.64
18597,99.19
2182,93.83
3470,77.43
23295,69.67
4824,43.38
4952,16.93
5032,57.94
5479,91.2
6187,99.84
8509,99.86
8514,99.97
8625,99.32
14441,99.45
15001,99.09
15536,99.83
209,97.7
18692,99.14
18711,96.91
21004,13.0
21530,33.32
2279,99.12
2620,95.23
2923,23.7
3192,34.24
23313,8.44
23520,15.13
3909,92.55
3961,74.15
24176,77.28
4572,58.99
24349,7.26
6045,98.65
6596,99.06
7424,99.6
7501,99.76
8578,98.49
9421,97.24
9533,99.43
77,71.89
11154,98.56
11734,99.69
12275,98.68
13107,92.99
13518,99.76
15890,99.36
205,99.62
20784,36.3
1491,63.15
1576,93.84
2599,97.65
22953,65.39
22986,26.83
4002,64.55
4879,45.4
24986,85.66
25678,43.96
6449,99.25
8225,99.52
20464,92.48
9490,81.32
9952,98.64
10501,89.63
10962,94.5
11809,99.13
12126,99.62
12553,92.41
13307,98.46
14147,99.35
15170,95.51
15349,99.43
15414,99.84
15624,99.2
16625,99.11
16923,99.67
17288,99.14
1988,64.65
22292,6.31
4049,65.01
25028,17.69
5630,99.23
6225,99.43
7596,97.78
8537,96.21
8555,99.77
9329,99.97
10063,99.55
12283,99.73
13581,98.92
162,99.8
16813,96.5
16949,95.03
16999,98.8
18719,96.22
20213,99.7
646,19.0
1727,65.14
22129,30.75
22246,8.06
22820,6.99
3280,92.28
24361,37.63
6537,94.12
6569,99.24
6831,98.57
8515,99.95
9158,99.65
20469,82.59
10168,96.3
10922,99.78
11374,99.1
11429,98.18
11969,98.44
16352,98.28
17354,97.77
18667,98.75
371,17.24
21125,8.54
1027,95.12
22720,53.4
22991,11.3
23342,5.72
24159,30.55
24866,9.36
4974,81.2
5893,99.53
5946,59.92
8577,99.68
9683,99.95
10570,98.59
20571,52.79
13271,99.41
14026,96.07
15148,94.92
15687,99.94
16188,99.6
16797,99.13
17076,99.93
18131,96.19
18197,99.7
18634,99.47
19095,99.84
20814,12.42
21177,72.94
21752,43.42
24165,11.42
25065,22.05
5679,99.59
5747,99.74
6251,95.86
6504,99.95
9045,99.9
10240,96.88
10728,99.97
11923,99.29
13051,99.88
14041,98.54
14900,99.65
18672,98.86
19030,99.93
19410,98.29
21067,8.41
21068,33.64
21775,52.41
22053,7.69
2844,95.81
22488,6.86
3078,96.67
22678,6.63
22761,64.49
24152,39.44
7408,99.56
7495,96.55
7953,99.71
8197,99.66
8846,99.84
20488,20.91
11626,98.46
12801,97.83
14103,97.45
14539,97.9
17427,99.45
17539,98.79
17998,99.01
19556,96.27
1628,96.96
21905,42.3
21986,16.06
23041,9.11
3588,94.51
4066,24.83
4576,88.62
5677,99.82
5678,99.71
6207,96.74
9073,99.14
10023,61.06
10413,99.8
10626,99.08
11142,99.68
