用户ID,信用评分
5502,77.14
7328,77.2
7397,77.47
7581,90.91
8923,90.47
9357,90.77
20475,42.18
10716,68.38
10955,68.05
11613,67.99
12445,68.25
14910,72.47
16611,81.84
18645,85.75
1039,93.43
21637,24.86
2392,93.25
21957,8.65
22073,12.16
2543,52.99
22582,13.26
3457,62.33
3775,26.47
4005,51.01
24222,20.87
24414,13.78
25521,14.65
6703,77.34
8214,86.58
9326,90.19
9455,89.66
9626,90.7
9713,90.44
9907,89.62
11690,67.9
20535,48.52
11944,67.75
12471,68.19
14297,70.89
16931,79.72
18578,85.36
18778,86.03
18881,86.2
19195,86.09
19755,84.85
21578,28.75
1673,94.19
21809,33.81
21903,19.65
22214,20.33
3654,59.28
23383,12.53
4750,47.36
4780,31.5
5470,77.39
5700,77.14
6160,77.38
7603,90.53
8067,90.62
8687,86.97
8777,90.8
9190,90.88
9824,90.8
71,94.53
10717,68.28
11759,68.09
12667,68.15
147,92.95
14573,71.59
15312,72.66
15993,81.45
16796,81.19
17772,77.2
19527,85.1
352,79.48
21096,16.92
1823,81.75
2937,62.69
3197,38.91
23109,30.24
23722,13.47
25245,12.78
5160,74.54
5345,72.7
5720,77.42
6120,77.23
7310,76.42
8339,90.39
9945,90.62
11484,64.38
13332,64.98
13504,69.59
13911,61.88
14628,47.86
14660,72.88
15582,81.25
15931,80.25
17572,81.79
17666,81.49
17966,77.53
18160,86.36
20188,86.45
671,66.4
936,94.58
1219,94.95
2478,23.16
22380,15.9
3211,53.17
22947,8.16
23512,25.56
23621,24.29
4963,74.95
7084,76.8
10809,68.34
11326,68.31
11644,68.38
11743,68.39
13160,72.8
14127,72.86
14255,71.99
14332,69.92
14551,72.33
14779,72.84
14946,72.47
15847,80.56
16764,81.89
17315,81.97
17719,80.41
20726,35.38
517,69.34
21378,8.12
21434,14.09
21506,14.72
22435,8.41
3020,43.21
22541,8.62
3411,61.9
23276,16.03
4520,56.81
24246,13.05
5525,77.09
6128,76.95
7400,77.1
7512,90.72
8112,90.72
10815,68.17
13154,72.59
20586,60.3
13650,72.58
15232,72.86
16534,81.03
18286,85.67
18327,86.25
20775,52.62
576,91.64
21279,9.09
1233,85.77
2239,89.97
2348,77.59
22005,7.98
22741,22.08
22847,9.48
23572,17.19
4605,59.26
25118,20.89
5499,76.7
5614,77.39
7434,90.88
9271,90.06
9766,90.97
10022,90.8
10418,67.87
11776,67.95
12675,67.97
13468,72.19
14122,70.99
14894,72.63
16221,81.44
18058,86.33
20689,17.19
19947,85.24
20057,86.34
20818,24.56
21566,8.67
21602,32.8
1752,88.53
21721,10.72
3796,18.52
4102,51.95
4578,62.29
24375,15.81
24411,50.04
25468,25.78
5646,77.03
20375,84.08
7419,74.83
7563,90.8
8276,90.07
8422,90.5
9530,90.69
12297,68.31
14175,72.03
15507,81.56
15589,79.85
16493,81.9
16664,79.17
17478,81.84
18113,86.23
20684,48.86
19746,85.21
373,64.48
21396,46.38
1665,93.47
2373,86.22
3051,38.19
3156,57.33
3422,59.1
3706,62.53
25302,31.09
25451,17.64
7263,75.72
7412,76.51
7855,90.92
9358,90.0
11324,68.03
11504,67.42
12053,68.1
12762,72.56
14673,72.88
15722,81.54
16000,81.74
17099,77.53
17331,81.47
18106,86.36
19393,85.94
21115,9.56
1262,77.4
1323,89.16
21720,22.25
21942,11.69
21999,16.0
2626,54.48
22344,12.36
23101,14.6
23715,45.91
4135,40.13
4810,47.36
25377,14.05
5392,76.38
5912,74.78
6462,77.0
10101,68.36
10322,65.06
10603,67.91
10926,68.28
11383,68.09
14111,72.61
14286,72.56
15920,81.39
17260,80.97
18958,84.56
19322,86.39
21930,8.59
22633,26.94
3104,63.1
22697,39.61
3126,63.28
23431,12.3
3991,37.44
23912,19.04
4346,47.28
24131,34.72
4613,45.47
20372,82.03
6259,76.88
6870,75.5
9057,90.64
9532,81.0
10162,68.08
11068,68.08
11119,68.43
12255,67.54
12594,68.28
12732,67.27
13276,66.96
18304,86.3
1019,93.17
1644,93.78
22023,7.95
2632,33.57
2899,62.29
2984,52.98
3033,60.02
22955,11.73
23535,14.88
3921,33.17
24043,27.86
5610,76.03
27,95.14
6891,77.48
7123,77.33
7543,90.92
7709,90.81
9393,90.61
13098,72.47
14069,72.51
14439,72.16
16613,81.87
17474,80.75
19268,86.34
20277,85.98
21397,24.17
21476,39.59
2571,60.62
2879,61.76
22912,7.62
23318,24.24
3715,49.66
23655,44.2
24315,27.97
4763,21.92
24881,35.32
5845,77.43
6580,77.25
7132,77.28
7386,76.96
20494,85.13
10471,68.45
11212,68.16
12887,72.62
15352,72.55
15739,78.53
16679,79.83
18055,49.08
18423,85.47
19711,85.1
385,94.55
594,82.64
21295,10.23
665,72.03
714,68.0
3027,25.5
23061,39.48
23364,14.65
4113,35.72
4267,45.0
4835,44.86
5540,76.68
6707,77.45
7157,77.14
7655,89.31
8032,90.8
9714,90.56
10093,68.29
11051,64.41
11780,65.85
13194,72.64
13227,72.77
20643,46.58
16979,81.79
17208,80.67
17399,81.69
18597,85.88
2182,91.86
3470,49.47
23295,44.86
4824,37.8
4952,45.07
5032,57.28
5479,75.47
6187,77.4
8509,90.92
8514,90.96
8625,90.62
14441,72.86
15001,72.76
15536,81.91
209,93.22
18692,86.2
18711,84.67
21004,17.39
21530,30.28
2279,94.69
2620,60.66
2923,25.84
3192,35.14
23313,13.46
23520,16.13
3909,58.42
3961,50.73
24176,41.33
4572,47.97
24349,12.95
6045,77.21
6596,77.12
7424,77.09
7501,90.74
8578,90.39
9421,90.42
9533,90.58
77,87.55
11154,67.49
11734,67.99
12275,68.08
13107,67.94
13518,72.85
15890,81.62
205,95.17
20784,26.41
1491,70.66
1576,93.07
2599,62.7
22953,38.83
22986,20.99
4002,43.77
4879,54.16
24986,45.06
25678,36.99
6449,76.93
8225,90.77
20464,59.45
9490,79.37
9952,90.44
10501,65.38
10962,65.73
11809,68.17
12126,68.16
12553,63.89
13307,71.51
14147,72.33
15170,70.39
15349,72.61
15414,81.87
15624,81.2
16625,81.38
16923,81.45
17288,81.76
1988,75.39
22292,7.88
4049,43.15
25028,19.03
5630,77.2
6225,76.82
7596,90.51
8537,89.22
8555,90.89
9329,90.97
10063,90.73
12283,68.31
13581,72.27
162,95.42
16813,81.19
16949,79.17
16999,81.04
18719,85.38
20213,86.14
646,55.21
1727,83.72
22129,26.95
22246,8.42
22820,8.49
3280,58.24
24361,23.09
6537,73.3
6569,76.87
6831,76.81
8515,90.92
