id_rank,CREDIT_FLAG,PROVINCE,SEX,AGE,occupation,mobile_fixed_days,adr_stability_days,consume_steady_byxs_1y,use_mobile_2_cnt_1y,activity_area_stability,last_1y_total_active_biz_cnt,have_car_flag,have_fang_flag,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,avg_puc_sdm_last_1y,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,positive_biz_cnt_1y,ovd_order_cnt_1m,ovd_order_amt_1m,ovd_order_cnt_3m,ovd_order_amt_3m,ovd_order_cnt_6m,ovd_order_amt_6m,ovd_order_cnt_12m,ovd_order_amt_12m,ovd_order_c0t_3m_m1_status,ovd_order_c0t_6m_m1_status,ovd_order_c0t_12m_m1_status,ovd_order_c0t_12m_m3_status,ovd_order_c0t_12m_m6_status,ovd_order_c0t_21_m3_status,ovd_order_c0t_21_m6_status,ovd_order_c0t_51_m3_status,ovd_order_c0t_51_m6_status,relevant_stability,sns_pii
5502,1,0,0,2,0,3,1,10,1,1,5,0,1,5,5,5,6,8,6,4,9,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,7
7328,1,0,1,3,0,8,4,10,2,2,6,1,1,9,8,9,9,6,4,4,7,7,7,2,6,7,8,2,2,2,1,1,1,2,2,3,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,4
7397,1,0,0,2,3,10,8,7,1,6,9,1,1,9,9,8,9,5,5,7,9,9,10,3,6,5,5,2,2,2,1,4,3,3,6,4,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,4
7581,1,0,1,1,1,6,9,4,1,3,8,0,0,10,9,9,11,2,3,3,5,5,5,1,3,4,5,1,1,1,1,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
8923,1,0,1,1,0,6,2,5,1,4,3,1,1,6,5,6,6,3,3,4,5,6,7,4,3,3,3,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,5
9357,1,0,0,2,0,10,8,3,1,4,7,1,1,6,6,6,7,2,2,2,3,3,3,3,5,5,7,1,1,2,4,4,4,4,10,10,6,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,5
20475,0,0,0,2,1,3,4,8,3,4,6,0,0,2,1,1,5,2,3,2,4,5,2,1,6,6,6,2,3,4,3,3,3,4,9,9,5,1,1,1,1,1,4,5,6,8,0,1,1,1,0,1,0,1,0,3,6
10716,1,0,0,2,5,4,10,6,2,5,10,1,1,8,8,8,9,7,8,9,10,10,12,4,8,5,6,1,1,1,10,9,9,9,10,10,10,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,8
10955,1,0,0,1,0,3,3,8,2,4,9,1,0,3,4,4,3,6,5,6,3,4,6,1,8,4,4,1,1,1,1,1,2,2,2,2,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,5
11613,1,0,0,1,2,4,3,9,1,3,8,0,0,12,12,11,10,2,3,2,3,4,1,1,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,4
12445,1,0,0,1,3,8,9,4,1,4,10,1,1,7,6,8,7,7,7,9,7,9,9,1,8,4,4,1,1,2,4,3,4,4,9,8,5,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,8
14910,1,0,0,1,1,4,2,5,2,7,8,1,0,8,7,7,7,7,6,8,7,7,7,3,6,7,6,1,1,1,1,2,2,2,5,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,6
